P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
6,17,6,685,2659,2511,1070,ACF
6,18,5,707,2790,530,673,MPF
6,19,4,1339,1531,940,1502,DB
6,20,3,1363,957,627,2844,CB
6,21,2,501,2712,701,4312,AC
6,22,1,1022,1809,1225,2655,MP
6,23,8,1664,2202,671,3905,DF
6,24,7,1201,2753,1249,3432,CF
6,25,6,859,2605,1163,507,ACF
6,26,5,1041,1826,1014,5787,MPF
6,27,4,730,2485,913,4641,DB
6,28,3,1618,2077,2456,7821,CB
6,29,2,873,2127,3311,427,AC
6,30,1,1195,1450,1892,4886,MP
6,31,8,1362,1582,172,12044,DF
6,32,7,1018,3823,342,1693,CF
7,1,7,2707,674,4447,245,CF
7,2,6,3060,681,1776,,ACF
7,3,5,2997,2675,,,MPF
7,4,4,2063,3516,334,2713,DB
7,5,3,1038,1248,2856,1468,CB
7,6,2,2162,6684,515,250,AC
7,7,1,3339,828,535,361,MP
7,8,8,1504,1981,7867,638,DF
7,9,7,2190,981,1798,6681,CF
7,10,6,2063,773,6641,11964,ACF
7,11,5,2715,1084,1346,936,MPF
7,12,4,2004,618,433,4849,DB
7,13,3,849,1800,4097,,CB
7,14,2,1805,2005,6779,,AC
7,15,1,2076,874,2501,14031,MP
7,16,8,,469,685,1926,DF
7,17,7,2798,1496,1016,,CF
7,18,6,1772,,,10159,ACF
7,19,5,1829,4407,2900,3042,MPF
7,20,4,2221,1555,,11203,DB
7,21,3,956,662,2167,1788,CB
7,22,2,1338,711,3181,,AC
7,23,1,4485,394,5494,718,MP
7,24,8,1515,918,623,7190,DF
7,25,7,2256,917,4107,278,CF
7,26,6,2535,1317,917,2527,ACF
7,27,5,2423,1215,1584,2162,MPF
7,28,4,2277,2619,489,12662,DB
7,29,3,8364,1123,398,1944,CB
7,30,2,2626,4764,8704,1634,AC
7,31,1,3309,932,152,15365,MP
7,32,8,4235,1390,10589,1416,DF
8,1,8,576,1330,1537,599,DF
8,2,7,1188,898,671,3714,CF
8,3,6,411,432,1235,1293,ACF
8,4,5,656,672,770,3392,MPF
8,5,4,975,507,580,1281,DB
8,6,3,672,649,615,1374,CB
8,7,2,393,1154,886,1669,AC
8,8,1,1796,742,369,597,MP
8,9,8,971,1392,716,1109,DF
8,10,7,1465,817,476,1625,CF
8,11,6,1458,774,1708,1709,ACF
8,12,5,1917,2060,2357,5029,MPF
8,13,4,713,866,,2132,DB
8,14,3,688,529,408,1269,CB
8,15,2,548,579,962,661,AC
8,16,1,824,734,332,564,MP
8,17,8,1271,2988,580,1381,DF
8,18,7,3246,4388,1265,696,CF
8,19,6,2146,644,3081,19044,ACF
8,20,5,948,4272,931,493,MPF
8,21,4,1024,510,432,1125,DB
8,22,3,734,530,422,706,CB
8,23,2,1232,500,1030,1472,AC
8,24,1,1174,1390,489,800,MP
8,25,8,740,1173,576,860,DF
8,26,7,677,1337,543,2268,CF
8,27,6,542,488,826,1145,ACF
8,28,5,805,3310,1656,814,MPF
8,29,4,1328,535,627,2725,DB
8,30,3,1580,463,375,690,CB
8,31,2,871,878,3113,932,AC
8,32,1,469,621,456,643,MP
9,1,1,595,525,527,1018,MP
9,2,8,442,2067,728,702,DF
9,3,7,434,943,1045,3133,CF
9,4,6,448,692,2734,7191,ACF
9,5,5,341,762,1430,6786,MPF
9,6,4,607,1175,1512,1902,DB
9,7,3,420,1388,1928,8302,CB
9,8,2,357,503,955,5330,AC
