P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
1,1,1,1504,489,551,1017,MP
1,2,8,1240,1306,448,314,DF
1,3,7,623,733,424,474,CF
1,4,6,331,,163,698,ACF
1,5,5,1011,686,576,216,MPF
1,6,4,1068,672,465,336,DB
1,7,3,650,815,333,273,CB
1,8,2,1919,506,176,373,AC
1,9,1,768,874,390,343,MP
1,10,8,409,591,890,1204,DF
1,11,7,869,467,909,401,CF
1,12,6,1599,472,561,298,ACF
1,13,5,1285,707,741,306,MPF
1,14,4,1003,555,598,392,DB
1,15,3,923,548,581,348,CB
1,16,2,1071,1379,913,273,AC
1,17,1,1111,144,665,315,MP
1,18,8,510,924,1124,171,DF
1,19,7,1097,874,612,775,CF
1,20,6,703,195,565,702,ACF
1,21,5,1252,511,624,258,MPF
1,22,4,783,724,618,545,DB
1,23,3,819,622,1117,259,CB
1,24,2,573,984,385,422,AC
1,25,1,625,259,383,199,MP
1,26,8,709,1348,536,494,DF
1,27,7,1264,1040,329,511,CF
1,28,6,1289,662,622,377,ACF
1,29,5,602,1407,692,599,MPF
1,30,4,1041,206,1983,270,DB
1,31,3,1525,2168,458,401,CB
1,32,2,982,1753,2548,960,AC
2,1,2,1227,1096,426,664,AC
2,2,1,941,706,414,426,MP
2,3,8,1762,864,530,338,DF
2,4,7,1011,481,878,1033,CF
2,5,6,850,629,656,427,ACF
2,6,5,573,792,543,641,MPF
2,7,4,530,691,454,276,DB
2,8,3,675,448,389,421,CB
2,9,2,658,726,682,766,AC
2,10,1,911,662,,478,MP
2,11,8,662,1249,862,644,DF
2,12,7,653,776,619,702,CF
2,13,6,1612,1113,590,392,ACF
2,14,5,839,1496,676,1836,MPF
2,15,4,503,488,302,621,DB
2,16,3,518,342,384,262,CB
2,17,2,560,752,391,282,AC
2,18,1,910,653,441,474,MP
2,19,8,646,900,441,583,DF
2,20,7,671,587,442,479,CF
2,21,6,805,908,991,601,ACF
2,22,5,1075,1225,491,272,MPF
2,23,4,1268,785,489,593,DB
2,24,3,704,536,404,448,CB
2,25,2,805,719,386,649,AC
2,26,1,790,1447,508,430,MP
2,27,8,622,695,684,420,DF
2,28,7,497,682,603,353,CF
2,29,6,1637,784,550,341,ACF
2,30,5,946,1174,730,1521,MPF
2,31,4,817,1458,451,658,DB
2,32,3,742,601,495,626,CB
3,1,3,673,374,592,478,CB
3,2,2,871,752,918,696,AC
3,3,1,340,370,712,339,MP
3,4,8,455,441,561,879,DF
3,5,7,177,168,621,193,CF
3,6,6,475,629,774,317,ACF
3,7,5,263,688,546,329,MPF
3,8,4,334,340,382,180,DB
3,9,3,159,305,356,410,CB
3,10,2,163,514,1006,701,AC
3,11,1,348,419,404,373,MP
3,12,8,305,381,696,331,DF
3,13,7,335,403,547,786,CF
3,14,6,256,573,665,658,ACF
3,15,5,611,454,563,418,MPF
3,16,4,147,551,370,519,DB
3,17,3,637,597,450,410,CB
3,18,2,586,610,406,912,AC
3,19,1,538,483,406,699,MP
3,20,8,404,348,586,398,DF
3,21,7,1441,329,682,906,CF
3,22,6,706,885,524,1074,ACF
3,23,5,835,,234,339,MPF
3,24,4,624,545,536,253,DB
3,25,3,383,,254,705,CB
3,26,2,121,572,,740,AC
3,27,1,600,508,371,686,MP
3,28,8,553,384,798,585,DF
3,29,7,343,143,839,554,CF
3,30,6,574,729,562,497,ACF
3,31,5,322,504,531,301,MPF
3,32,4,198,492,530,259,DB
4,1,4,335,258,481,,DB
4,2,3,278,532,556,345,CB
4,3,2,535,513,479,,AC
4,4,1,852,181,539,329,MP
4,5,8,462,1352,682,325,DF
4,6,7,275,415,758,169,CF
4,7,6,1095,868,752,,ACF
4,8,5,627,673,550,298,MPF
4,9,4,545,760,446,550,DB
4,10,3,402,485,343,188,CB
4,11,2,516,135,267,266,AC
4,12,1,527,,158,145,MP
4,13,8,730,843,1282,535,DF
4,14,7,463,485,554,368,CF
4,15,6,121,161,709,1518,ACF
4,16,5,2079,1065,819,401,MPF
4,17,4,296,650,714,,DB
4,18,3,416,845,763,124,CB
4,19,2,635,537,446,128,AC
4,20,1,587,655,101,,MP
4,21,8,489,236,1119,,DF
4,22,7,363,,274,137,CF
4,23,6,758,816,371,650,ACF
4,24,5,727,370,746,,MPF
4,25,4,552,599,879,643,DB
4,26,3,380,443,355,466,CB
4,27,2,437,702,88,316,AC
4,28,1,645,,150,81,MP
4,29,8,713,479,1175,108,DF
4,30,7,402,504,391,1349,CF
4,31,6,1560,2324,449,474,ACF
4,32,5,523,637,787,,MPF
5,1,5,270,664,643,653,MPF
5,2,4,1171,1494,608,739,DB
5,3,3,917,903,467,1083,CB
5,4,2,600,160,500,468,AC
5,5,1,851,973,1442,561,MP
5,6,8,734,,937,799,DF
5,7,7,612,1561,684,178,CF
5,8,6,1166,1458,697,581,ACF
5,9,5,962,180,1097,1551,MPF
5,10,4,519,957,700,1199,DB
5,11,3,1343,805,1070,1206,CB
5,12,2,543,976,488,1528,AC
5,13,1,901,179,587,445,MP
5,14,8,176,2182,906,460,DF
5,15,7,534,1950,704,439,CF
5,16,6,827,711,424,632,ACF
5,17,5,1209,1557,907,1083,MPF
5,18,4,1817,965,908,687,DB
5,19,3,502,924,504,250,CB
5,20,2,638,437,199,957,AC
5,21,1,1286,797,400,762,MP
5,22,8,1295,1723,713,462,DF
5,23,7,354,2035,935,459,CF
5,24,6,1122,2342,1100,560,ACF
5,25,5,1482,1994,576,806,MPF
5,26,4,1514,1759,612,415,DB
5,27,3,855,1240,454,386,CB
5,28,2,778,1194,143,703,AC
5,29,1,2136,263,812,1250,MP
5,30,8,2436,1579,509,448,DF
5,31,7,1449,2407,978,447,CF
5,32,6,1064,2363,984,818,ACF
6,1,6,1233,1240,,460,ACF
6,2,5,1352,2496,1680,631,MPF
6,3,4,1059,963,1513,189,DB
6,4,3,725,2318,2299,434,CB
6,5,2,752,2301,187,573,AC
6,6,1,1566,1620,531,1035,MP
6,7,8,707,1254,2783,446,DF
6,8,7,1344,2086,1398,351,CF
6,9,6,1141,2000,1266,1302,ACF
6,10,5,985,2166,553,,MPF
6,11,4,860,2662,982,374,DB
6,12,3,1151,2274,857,514,CB
6,13,2,1493,2045,767,221,AC
6,14,1,1570,1842,864,725,MP
6,15,8,963,2369,,145,DF
6,16,7,787,2595,2024,1972,CF
6,17,6,685,1408,1109,1070,ACF
6,18,5,707,1670,530,673,MPF
6,19,4,1339,1531,940,583,DB
6,20,3,1363,957,627,617,CB
6,21,2,501,181,701,624,AC
6,22,1,1022,1809,1225,422,MP
6,23,8,1664,2202,492,599,DF
6,24,7,1201,2753,1249,902,CF
6,25,6,859,2605,776,507,ACF
6,26,5,1041,1826,1014,1071,MPF
6,27,4,730,2485,913,530,DB
6,28,3,1618,2077,2456,864,CB
6,29,2,873,2127,1175,427,AC
6,30,1,1195,1450,1125,1263,MP
6,31,8,1362,1582,172,814,DF
6,32,7,1018,1885,342,194,CF
7,1,7,2707,674,356,245,CF
7,2,6,3060,681,708,,ACF
7,3,5,2997,2675,,,MPF
7,4,4,2063,2664,334,614,DB
7,5,3,1038,1248,166,585,CB
7,6,2,2162,3778,515,250,AC
7,7,1,3339,828,535,361,MP
7,8,8,1504,1981,151,638,DF
7,9,7,2190,981,434,587,CF
7,10,6,2063,773,2348,405,ACF
7,11,5,2715,1084,1048,301,MPF
7,12,4,2004,618,433,245,DB
7,13,3,849,1800,164,,CB
7,14,2,1805,2005,972,,AC
7,15,1,2076,874,197,1266,MP
7,16,8,,469,685,220,DF
7,17,7,2798,1496,1016,,CF
7,18,6,1772,1472,,617,ACF
