P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
7,3,5,0,0,1,0,MPF
7,4,4,0,1,0,0,DB
7,5,3,0,0,1,1,CB
7,6,2,0,1,0,0,AC
7,7,1,0,0,0,0,MP
7,8,8,0,0,1,0,DF
7,9,7,0,0,1,1,CF
7,10,6,0,0,1,1,ACF
7,11,5,0,0,1,1,MPF
7,12,4,0,0,0,1,DB
7,13,3,0,0,1,0,CB
7,14,2,0,0,1,0,AC
7,15,1,0,0,1,1,MP
7,16,8,0,0,0,1,DF
7,17,7,0,0,0,0,CF
7,18,6,0,1,0,1,ACF
7,19,5,0,1,1,1,MPF
7,20,4,0,1,0,1,DB
7,21,3,0,0,1,1,CB
7,22,2,0,0,1,0,AC
7,23,1,0,0,1,1,MP
7,24,8,0,1,0,1,DF
7,25,7,0,0,1,0,CF
7,26,6,0,0,0,1,ACF
7,27,5,0,0,1,1,MPF
7,28,4,0,1,0,1,DB
7,29,3,0,0,0,1,CB
7,30,2,0,1,1,1,AC
7,31,1,0,0,0,1,MP
7,32,8,0,0,1,1,DF
8,1,8,0,0,1,0,DF
8,2,7,0,0,0,1,CF
8,3,6,0,0,1,0,ACF
8,4,5,0,0,1,1,MPF
8,5,4,0,0,0,1,DB
8,6,3,0,0,1,1,CB
8,7,2,0,1,1,1,AC
8,8,1,0,0,0,0,MP
8,9,8,0,0,1,0,DF
8,10,7,0,1,0,1,CF
8,11,6,0,0,1,1,ACF
8,12,5,0,1,1,1,MPF
8,13,4,0,0,0,1,DB
8,14,3,0,0,0,1,CB
8,15,2,0,0,1,0,AC
8,16,1,0,0,0,0,MP
8,17,8,0,1,0,1,DF
8,18,7,0,1,1,0,CF
8,19,6,0,0,1,1,ACF
8,20,5,0,1,1,0,MPF
8,21,4,0,0,0,0,DB
8,22,3,0,0,0,0,CB
8,23,2,0,0,1,1,AC
8,24,1,0,0,0,0,MP
8,25,8,0,0,1,0,DF
8,26,7,0,0,0,1,CF
8,27,6,0,0,1,0,ACF
8,28,5,0,1,1,0,MPF
8,29,4,0,0,0,0,DB
8,30,3,0,0,0,0,CB
8,31,2,0,0,1,1,AC
8,32,1,0,0,0,0,MP
9,1,1,0,0,0,1,MP
9,2,8,0,1,0,0,DF
9,3,7,0,0,0,1,CF
9,4,6,0,0,1,1,ACF
