P.s,Item,Cond,Antecedent,Consequent,Premise,Conclusion,CondType
6,12,3,1715,2769,1020,1118,CB
6,13,2,2819,3904,1477,1155,AC
6,14,1,1798,1842,864,1368,MP
6,15,8,1831,2895,2817,1235,DF
6,16,7,3088,5547,3205,2680,CF
6,17,6,2258,2113,1484,1070,ACF
6,18,5,1216,2281,530,673,MPF
6,19,4,1507,1786,1248,771,DB
6,20,3,1928,2127,1119,617,CB
6,21,2,2163,3679,1401,983,AC
6,22,1,1628,2070,1966,1047,MP
6,23,8,2614,3043,688,2097,DF
6,24,7,1638,3400,1249,2348,CF
6,25,6,1047,2804,776,507,ACF
6,26,5,2382,3704,1848,1734,MPF
6,27,4,1705,4676,1449,939,DB
6,28,3,3213,4920,4103,1736,CB
6,29,2,1683,2634,1994,427,AC
6,30,1,3936,2099,1690,1698,MP
6,31,8,2007,3974,4167,5012,DF
6,32,7,3428,2912,342,194,CF
7,1,7,2707,674,1066,245,CF
7,2,6,3605,1204,708,,ACF
7,3,5,3554,3865,193,,MPF
7,4,4,3996,2664,1352,614,DB
7,5,3,1038,1248,1453,585,CB
7,6,2,4388,4458,515,250,AC
7,7,1,3339,828,535,361,MP
7,8,8,2279,2829,2759,638,DF
7,9,7,4216,2434,3632,1368,CF
7,10,6,6640,4469,8542,1790,ACF
7,11,5,3648,1084,1048,301,MPF
7,12,4,3417,2015,2010,462,DB
7,13,3,1388,1800,909,,CB
7,14,2,3557,4800,2232,,AC
7,15,1,8733,5425,3878,1446,MP
7,16,8,223,1707,685,688,DF
7,17,7,2798,1496,1016,,CF
7,18,6,4036,5954,1600,1958,ACF
7,19,5,4031,4536,2597,1014,MPF
7,20,4,5024,3541,3898,2516,DB
7,21,3,1587,957,1084,327,CB
7,22,2,1338,711,1132,,AC
7,23,1,4485,835,615,277,MP
7,24,8,3766,2661,2528,1291,DF
7,25,7,3565,1855,1860,278,CF
7,26,6,3376,1317,1676,927,ACF
7,27,5,4256,1215,1509,404,MPF
7,28,4,5060,5596,3953,3438,DB
7,29,3,8664,1465,769,931,CB
7,30,2,4550,3310,2306,172,AC
7,31,1,6909,4425,4445,3979,MP
7,32,8,7157,3016,1031,801,DF
8,1,8,1298,1330,815,599,DF
8,2,7,2347,1727,1152,1245,CF
8,3,6,411,791,876,1293,ACF
8,4,5,1443,1895,722,1430,MPF
8,5,4,975,507,876,985,DB
8,6,3,1018,1470,429,393,CB
8,7,2,1326,1166,715,895,AC
8,8,1,1796,742,369,597,MP
8,9,8,1161,1392,526,1109,DF
8,10,7,1891,673,476,1343,CF
8,11,6,1758,1388,1094,1409,ACF
8,12,5,4426,4334,1063,1540,MPF
8,13,4,1267,866,638,940,DB
8,14,3,926,1242,408,318,CB
8,15,2,548,878,663,661,AC
8,16,1,824,734,332,564,MP
8,17,8,2552,1833,876,959,DF
8,18,7,5589,2501,809,696,CF
8,19,6,9564,8115,3637,3599,ACF
8,20,5,2765,2700,686,493,MPF
8,21,4,1024,510,432,1125,DB
8,22,3,734,530,422,706,CB
8,23,2,1641,874,656,1063,AC
8,24,1,1174,1390,489,800,MP
8,25,8,874,1173,442,860,DF
8,26,7,677,1337,837,1974,CF
8,27,6,542,792,522,1145,ACF
8,28,5,2586,2131,1345,523,MPF
8,29,4,1328,535,627,2725,DB
8,30,3,1580,463,375,690,CB
8,31,2,2166,1977,1186,465,AC
8,32,1,469,621,456,643,MP
9,1,1,595,1066,527,477,MP
9,2,8,1469,1040,728,702,DF
9,3,7,434,943,2494,1684,CF
9,4,6,1786,4275,3010,1994,ACF
9,5,5,2164,3378,2383,1394,MPF
9,6,4,1425,2263,865,643,DB
9,7,3,749,3145,4217,3927,CB
9,8,2,1796,2004,2188,1157,AC
9,9,1,1397,1480,890,647,MP
9,10,8,1515,2838,1576,527,DF
9,11,7,831,2734,980,2412,CF
9,12,6,1310,1790,1033,1340,ACF
9,13,5,1925,3427,2913,608,MPF
9,14,4,882,2815,1266,1072,DB
9,15,3,718,529,561,344,CB
9,16,2,2272,5633,2316,1109,AC
9,17,1,843,2592,856,1016,MP
9,18,8,484,3137,886,1079,DF
9,19,7,1433,4818,5142,2288,CF
9,20,6,3110,3765,2198,1025,ACF
9,21,5,2233,2753,6793,2887,MPF
9,22,4,955,1866,732,290,DB
9,23,3,965,1101,723,548,CB
9,24,2,444,1523,545,430,AC
9,25,1,498,1146,816,582,MP
9,26,8,650,2234,821,863,DF
9,27,7,1075,2414,873,620,CF
9,28,6,2911,4544,2437,2450,ACF
9,29,5,726,1805,1528,665,MPF
9,30,4,359,1474,1450,580,DB
9,31,3,1023,2065,975,443,CB
9,32,2,486,1506,787,495,AC
10,1,2,757,1563,1258,1687,AC
10,2,1,2493,3001,5640,1534,MP
10,3,8,1081,1882,709,1331,DF
10,4,7,499,751,833,613,CF
10,5,6,2161,2473,900,375,ACF
10,6,5,1414,1762,1374,332,MPF
10,7,4,501,881,659,236,DB
10,8,3,979,861,612,375,CB
10,9,2,2377,2331,759,402,AC
10,10,1,572,922,428,672,MP
10,11,8,651,1512,1005,403,DF
10,12,7,1472,896,537,169,CF
10,13,6,1868,1425,1307,,ACF
10,14,5,1891,1500,1090,562,MPF
10,15,4,1075,761,1095,206,DB
10,16,3,1704,1296,994,1006,CB
10,17,2,1352,2099,1663,284,AC
10,18,1,1326,1204,575,288,MP
10,19,8,796,1343,997,636,DF
10,20,7,708,429,973,400,CF
10,21,6,1026,1415,690,887,ACF
10,22,5,1937,1786,1250,1043,MPF
10,23,4,1200,2463,2241,444,DB
10,24,3,1304,1832,811,471,CB
10,25,2,1397,1842,1126,225,AC
10,26,1,1908,1044,912,487,MP
10,27,8,3425,889,473,386,DF
10,28,7,613,1380,606,854,CF
10,29,6,1712,1562,938,1213,ACF
10,30,5,1419,2298,961,943,MPF
10,31,4,781,2436,1236,1064,DB
10,32,3,694,2481,1775,1298,CB
11,1,3,1296,2167,1017,957,CB
11,2,2,1795,1421,1036,1736,AC
11,3,1,662,1298,1009,844,MP
11,4,8,1018,1436,782,761,DF
11,5,7,873,2095,702,1760,CF
11,6,6,1198,2282,1040,2297,ACF
11,7,5,1472,969,980,491,MPF
11,8,4,764,899,1212,521,DB
11,9,3,907,1872,506,1269,CB
11,10,2,1042,1154,1279,170,AC
11,11,1,1887,1329,681,323,MP
11,12,8,717,1558,753,223,DF
11,13,7,1745,2663,2138,1153,CF
11,14,6,746,1404,1886,800,ACF
11,15,5,1192,1197,1010,387,MPF
11,16,4,803,967,1519,661,DB
11,17,3,2249,2055,1386,789,CB
11,18,2,2816,4089,2785,2516,AC
11,19,1,1237,859,1526,422,MP
11,20,8,1680,1099,1230,1059,DF
11,21,7,481,1139,618,406,CF
11,22,6,1247,1776,912,1294,ACF
11,23,5,1958,1055,949,569,MPF
11,24,4,875,1851,1658,407,DB
11,25,3,721,946,834,365,CB
11,26,2,3794,2837,1508,1721,AC
11,27,1,1927,1902,756,385,MP
11,28,8,611,1390,627,720,DF
11,29,7,425,800,924,699,CF
11,30,6,1121,1335,1223,655,ACF
11,31,5,1696,2020,674,655,MPF
11,32,4,1743,1717,1332,468,DB
12,1,4,1152,1143,843,808,DB
12,2,3,1580,2637,1052,1289,CB
12,3,2,2404,3490,2983,1543,AC
12,4,1,2132,2142,1910,850,MP
12,5,8,701,1382,1108,720,DF
12,6,7,1884,2176,1611,777,CF
12,7,6,1103,2718,2192,1751,ACF
12,8,5,652,2591,801,1145,MPF
12,9,4,2627,2991,2294,1225,DB
12,10,3,4871,2447,2293,2483,CB
12,11,2,920,1261,1672,1087,AC
12,12,1,1079,2398,1227,903,MP
12,13,8,948,863,1084,1126,DF
12,14,7,1548,3973,2370,1731,CF
12,15,6,3644,2873,1215,1272,ACF
12,16,5,2848,2486,1943,2239,MPF
12,17,4,972,2503,993,2389,DB
12,18,3,901,1658,668,621,CB
12,19,2,3782,2460,2674,1641,AC
12,20,1,1632,1633,604,659,MP
12,21,8,1123,2013,1308,909,DF
12,22,7,2213,2265,2450,558,CF
12,23,6,3163,2760,1970,1090,ACF
12,24,5,2106,3343,1155,1007,MPF
12,25,4,2491,3810,1349,799,DB
12,26,3,1223,1790,819,768,CB
12,27,2,2334,4426,2029,1999,AC
12,28,1,3082,3147,720,1113,MP
12,29,8,3097,1644,1777,847,DF
